번호,H S K,한 글 품 명,영 문 품 명,칠레,싱가 포르,EFTA,아세안,인도,EU (25.7.1~ 26.6.30),EU (26.7.1~ 27.6.30),페루,미국,콜롬 비아,튀르 키예,캐나다,호주,베트남,중국,뉴질 랜드,중미- 코스타리카,중미- 엘살바도르,중미- 온두 라스,중미-니카 라과,중미-파나마,영국 (25.7.1~ 26.6.30),영국 (26.7.1~ 27.6.30),인도네시아,이스 라엘,캄보 디아,RCEP- 뉴질 랜드,RCEP- 아세안,RCEP- 일본,RCEP- 중국,RCEP- 호주,필리핀,UAE
932,1512.19.1020,잇꽃유(정제유),Safflower oil (Refined),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2,1.6,1.6,2.5,0,0,0,1,0,0,0,0,0,0,0,0
933,1512.19.9010,해바라기씨유(기타),Sunflower-seed oil (Other),0,0,8,0,5,0,0,0,0,0,0,0,0,0,0,0,1.6,2,1.6,1.6,2.5,0,0,0,1,0,2.5,2.5,2.5,2.5,2.5,0,4
934,1512.19.9020,잇꽃유(기타),Safflower oil (Other),0,0,6.4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,2,1.6,1.6,2.5,0,0,0,1,0,0,0,0,0,0,0,4
935,1512.21.0000,면실유(조유),Cotton-seed oil (Crude),0,0,미양허(IS 4.9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
936,1512.29.1000,면실유(정제유),Cotton-seed oil (Refined),0,0,미양허(IS 4.9),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2.5,2.5,2.5,2.5,2.5,0,4
937,1512.29.9000,면실유(기타),Other cotton seed oil and its fractions,0,0,미양허(IS 7.2),0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4
938,1513.11.0000,야자유(조유),Coconut oil (Crude),0,0,미양허(IS 0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
939,1513.19.1000,야자유(정제유),Coconut oil (Refined),0,0,미양허(IS 0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,1.8,0
940,1513.19.9000,야자유 기타,Other coconut oil and its fractions,0,0,미양허(IS 0),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0
941,1513.21.1000,팜핵유(조유),Palm kernel oil (Crude),0,0,4(CH 미양허),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
